480,250,1.52941176470588
480,500,2.37254901960784
480,800,3.52941176470588
480,1000,3.6078431372549
480,1500,4
480,2000,4.25490196078431
480,9653,4.35294117647059
720,250,1.03921568627451
720,500,1.54901960784314
720,800,2.41176470588235
720,1000,3.23529411764706
720,1500,4.01960784313725
720,2000,4.41176470588235
720,9653,4.47058823529412
1080,250,1.03921568627451
1080,500,1.15686274509804
1080,800,1.58823529411765
1080,1000,1.98039215686275
1080,1500,3.25490196078431
1080,2000,3.92156862745098
1080,9653,3.76470588235294
